Grade,Day,Period,StartTime,EndTime
6,Monday,HR,8:00:00 AM,8:17:00 AM
6,Monday,Period 1,8:20:00 AM,9:05:00 AM
6,Monday,Period 2,9:08:00 AM,9:53:00 AM
6,Monday,Recess,9:53:00 AM,10:08:00 AM
6,Monday,Period 3,10:11:00 AM,10:56:00 AM
6,Monday,Period 4,10:59:00 AM,11:44:00 AM
6,Monday,Lunch,11:44:00 AM,12:14:00 PM
6,Monday,Period 5,12:17:00 PM,1:02:00 PM
6,Monday,Period 6,1:05:00 PM,1:50:00 PM
6,Monday,Dismissal,1:50:00 PM,2:05:00 PM
6,Tuesday,Homeroom,8:00:00 AM,8:17:00 AM
6,Tuesday,Period 7,8:20:00 AM,9:05:00 AM
6,Tuesday,Recess,9:05:00 AM,9:20:00 AM
6,Tuesday,Period 1,9:23:00 AM,10:15:00 AM
6,Tuesday,Period 2,10:18:00 AM,11:10:00 AM
6,Tuesday,Lunch,11:10:00 AM,11:40:00 AM
6,Tuesday,Period 3,11:43:00 AM,12:35:00 PM
6,Tuesday,Period 4,12:38:00 PM,1:30:00 PM
6,Tuesday,Period 5,1:33:00 PM,2:25:00 PM
6,Tuesday,Dismissal,2:25:00 PM,2:40:00 PM
6,Wednesday,Advisory,8:00:00 AM,8:50:00 AM
6,Wednesday,Period 6,8:53:00 AM,9:45:00 AM
6,Wednesday,Recess,9:45:00 AM,10:00:00 AM
6,Wednesday,Period 7,10:03:00 AM,10:55:00 AM
6,Wednesday,Lunch,10:55:00 AM,11:25:00 AM
6,Wednesday,Period 1,11:28:00 AM,12:20:00 PM
6,Wednesday,Period 2,12:23:00 PM,1:15:00 PM
6,Wednesday,Dismissal,1:15:00 PM,1:30:00 PM
6,Thursday,Homeroom,8:00:00 AM,8:17:00 AM
6,Thursday,Period 3,8:20:00 AM,9:12:00 AM
6,Thursday,Recess,9:12:00 AM,9:27:00 AM
6,Thursday,Period 4,9:30:00 AM,10:22:00 AM
6,Thursday,Period 5,10:25:00 AM,11:17:00 AM
6,Thursday,Lunch,11:17:00 AM,11:47:00 AM
6,Thursday,Period 6,11:50:00 AM,12:42:00 PM
6,Thursday,Period 7,12:45:00 PM,1:37:00 PM
6,Thursday,Period 1,1:40:00 PM,2:25:00 PM
6,Thursday,Dismissal,2:25:00 PM,2:40:00 PM
6,Friday,Homeroom,8:00:00 AM,8:17:00 AM
6,Friday,Period 2,8:20:00 AM,9:05:00 AM
6,Friday,Period 3,9:08:00 AM,9:53:00 AM
6,Friday,Recess,9:53:00 AM,10:08:00 AM
6,Friday,Period 4,10:11:00 AM,10:56:00 AM
6,Friday,Period 5,10:59:00 AM,11:44:00 AM
6,Friday,Lunch,11:44:00 AM,12:14:00 PM
6,Friday,Period 6,12:17:00 PM,1:02:00 PM
6,Friday,Period 7,1:05:00 PM,1:50:00 PM
6,Friday,Dismissal,1:50:00 PM,2:05:00 PM
78,Monday,HR,8:00:00 AM,8:12:00 AM
78,Monday,Period 1,8:15:00 AM,9:00:00 AM
78,Monday,Period 2,9:03:00 AM,9:48:00 AM
78,Monday,Period 3,9:51:00 AM,10:36:00 AM
78,Monday,Recess,10:36:00 AM,10:51:00 AM
78,Monday,Period 4,10:54:00 AM,11:39:00 AM
78,Monday,Period 5,11:42:00 AM,12:27:00 PM
78,Monday,Lunch,12:27:00 PM,12:57:00 PM
78,Monday,Period 6,1:00:00 PM,1:50:00 PM
